"Category","Topic_Name","Quick_Summary_For_AI","Contact_Phone","Location_Address","Schedule_or_Hours","Pricing_or_Fee","Messenger_AI_Response_Template"
"Platform Information","CD Doctors (HealthBD)","CD Doctors is a Chuadanga-based digital healthcare discovery platform for specialist doctors, hospital chambers, 24/7 ambulances & blood donors.","+880 761-62588","Chuadanga, Khulna, Bangladesh","24/7 Online Service","Free Portal","CD Doctors helps you easily find specialist doctors, hospitals, ambulance contacts, and blood donors across Chuadanga."
"Doctor","Dr. Mahbubur Rahman Chowdhury (Senior Consultant Cardiologist)","Specialist in Senior Consultant Cardiologist (কার্ডিওলজি ও হৃদরোগ বিভাগ). Degrees: MBBS, FCPS (Cardiology), MD (Cardiology). Chamber: Evercare Hospital Chuadanga, Room Block A, 4th Floor, Suite 402. Experience: 18 yrs. Treats: ","+880 1711-209841","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1200 ৳","Dr. Mahbubur Rahman Chowdhury (Senior Consultant Cardiologist) sits at Evercare Hospital Chuadanga (Room Block A, 4th Floor, Suite 402) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1200 BDT. Serial Call: +880 1711-209841"
"Doctor","Dr. Selina Parveen (Consultant Gynecologist & Laparoscopic Surgeon)","Specialist in Consultant Gynecologist & Laparoscopic Surgeon (স্ত্রী ও প্রসূতি রোগ বিভাগ). Degrees: MBBS, MS (Gynae & Obs), FCPS. Chamber: Evercare Hospital Chuadanga, Room Chamber #104, Ground Floor. Experience: 14 yrs. Treats: ","+880 1819-332145","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Selina Parveen (Consultant Gynecologist & Laparoscopic Surgeon) sits at Evercare Hospital Chuadanga (Room Chamber #104, Ground Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1819-332145"
"Doctor","Dr. Kazi Ariful Haque (Trauma & Joint Replacement Surgeon)","Specialist in Trauma & Joint Replacement Surgeon (অর্থোপেডিক্স ও ট্রমা বিভাগ). Degrees: MBBS, MS (Orthopedics), D-Ortho. Chamber: Evercare Hospital Chuadanga, Room Room #205, 2nd Floor. Experience: 16 yrs. Treats: ","+880 1712-445566","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Kazi Ariful Haque (Trauma & Joint Replacement Surgeon) sits at Evercare Hospital Chuadanga (Room Room #205, 2nd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1712-445566"
"Doctor","Dr. Nuzhat Fatema (Senior Consultant Pediatrician & Neonatologist)","Specialist in Senior Consultant Pediatrician & Neonatologist (শিশু রোগ বিভাগ). Degrees: MBBS, DCH (Pediatrics), FCPS (Paed). Chamber: Evercare Hospital Chuadanga, Room Room #108, Pediatric Outdoor. Experience: 11 yrs. Treats: ","+880 1913-556677","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. Nuzhat Fatema (Senior Consultant Pediatrician & Neonatologist) sits at Evercare Hospital Chuadanga (Room Room #108, Pediatric Outdoor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1913-556677"
"Doctor","Dr. Towhidul Islam (Consultant Neurologist & Stroke Specialist)","Specialist in Consultant Neurologist & Stroke Specialist (নিউরোমেডিসিন ও ব্রেইন সাইন্স বিভাগ). Degrees: MBBS, MD (Neurology), PhD. Chamber: Evercare Hospital Chuadanga, Room Suite #401, 4th Floor. Experience: 15 yrs. Treats: ","+880 1715-667788","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1200 ৳","Dr. Towhidul Islam (Consultant Neurologist & Stroke Specialist) sits at Evercare Hospital Chuadanga (Room Suite #401, 4th Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1200 BDT. Serial Call: +880 1715-667788"
"Doctor","Dr. Sharmeen Sultana (Consultant Dermatologist & Laser Specialist)","Specialist in Consultant Dermatologist & Laser Specialist (চর্ম, এলার্জি ও সৌন্দর্য রোগ বিভাগ). Degrees: MBBS, DDV, FCPS (Dermatology). Chamber: Evercare Hospital Chuadanga, Room Chamber #210, 2nd Floor. Experience: 10 yrs. Treats: ","+880 1817-778899","Evercare Hospital Chuadanga, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Sharmeen Sultana (Consultant Dermatologist & Laser Specialist) sits at Evercare Hospital Chuadanga (Room Chamber #210, 2nd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1817-778899"
"Doctor","Dr. Md. Rafiqul Islam (Senior Consultant Physician & Diabetologist)","Specialist in Senior Consultant Physician & Diabetologist (মেডিসিন ও ডায়াবেটিস বিভাগ). Degrees: MBBS, FCPS (Medicine), MD (Internal Medicine). Chamber: Chuadanga Medical Center, Room Room #101, Main Building. Experience: 20 yrs. Treats: ","+880 1713-112233","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Md. Rafiqul Islam (Senior Consultant Physician & Diabetologist) sits at Chuadanga Medical Center (Room Room #101, Main Building) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1713-112233"
"Doctor","Dr. Farida Yasmin (Associate Professor & Gynecologist)","Specialist in Associate Professor & Gynecologist (স্ত্রী ও প্রসূতি রোগ বিভাগ). Degrees: MBBS, DGO, FCPS (Gynae). Chamber: Chuadanga Medical Center, Room Chamber #203, Female Ward Block. Experience: 13 yrs. Treats: ","+880 1814-223344","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. Farida Yasmin (Associate Professor & Gynecologist) sits at Chuadanga Medical Center (Room Chamber #203, Female Ward Block) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1814-223344"
"Doctor","Dr. A.H.M. Kamal Hossain (Senior General & Laparoscopic Surgeon)","Specialist in Senior General & Laparoscopic Surgeon (জেনারেল ও ল্যাপারোস্কোপিক সার্জারি বিভাগ). Degrees: MBBS, FCPS (Surgery), MS (General Surgery). Chamber: Chuadanga Medical Center, Room OT Complex, 3rd Floor. Experience: 17 yrs. Treats: ","+880 1716-334455","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1100 ৳","Dr. A.H.M. Kamal Hossain (Senior General & Laparoscopic Surgeon) sits at Chuadanga Medical Center (Room OT Complex, 3rd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1100 BDT. Serial Call: +880 1716-334455"
