"Doctor_Name","Specialization","Department_EN","Department_BN","Degrees","Experience_Years","Consultation_Fee_BDT","Hospital_Name","Hospital_Type","Chamber_Room","Contact_Phone","Available_Days_BN","Available_Days_EN","Visiting_Hours_Detailed","Languages","BMDC_Number","Bio","Treated_Diseases","District","Status"
"Dr. Mahbubur Rahman Chowdhury","Senior Consultant Cardiologist","Cardiology & Heart Care","কার্ডিওলজি ও হৃদরোগ বিভাগ","MBBS, FCPS (Cardiology), MD (Cardiology)","18","1200","Evercare Hospital Chuadanga","Super Specialty Hospital","Block A, 4th Floor, Suite 402","+880 1711-209841","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-45892","Dr. Mahbubur Rahman Chowdhury is a senior interventional cardiologist with over 18 years of specialized experience in coronary angioplasty, heart failure management, and acute cardiac care at Evercare Hospital Chuadanga.","","Chuadanga","ACTIVE"
"Dr. Selina Parveen","Consultant Gynecologist & Laparoscopic Surgeon","Gynecology & Obstetrics","স্ত্রী ও প্রসূতি রোগ বিভাগ","MBBS, MS (Gynae & Obs), FCPS","14","1000","Evercare Hospital Chuadanga","Super Specialty Hospital","Chamber #104, Ground Floor","+880 1819-332145","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-56901","Dr. Selina Parveen specializes in high-risk pregnancies, advanced laparoscopic gynecological surgeries, pain-free normal deliveries, and infertility care.","","Chuadanga","ACTIVE"
"Dr. Kazi Ariful Haque","Trauma & Joint Replacement Surgeon","Orthopedics & Trauma Surgery","অর্থোপেডিক্স ও ট্রমা বিভাগ","MBBS, MS (Orthopedics), D-Ortho","16","1000","Evercare Hospital Chuadanga","Super Specialty Hospital","Room #205, 2nd Floor","+880 1712-445566","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-38910","Renowned orthopedic surgeon specializing in knee and hip replacement surgery, complex bone fracture reconstruction, and sports injury rehabilitation.","","Chuadanga","ACTIVE"
"Dr. Nuzhat Fatema","Senior Consultant Pediatrician & Neonatologist","Pediatrics & Child Health","শিশু রোগ বিভাগ","MBBS, DCH (Pediatrics), FCPS (Paed)","11","900","Evercare Hospital Chuadanga","Super Specialty Hospital","Room #108, Pediatric Outdoor","+880 1913-556677","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-61204","Dedicated pediatrician providing comprehensive newborn care, pediatric asthma management, childhood nutrition counseling, and emergency pediatric care.","","Chuadanga","ACTIVE"
"Dr. Towhidul Islam","Consultant Neurologist & Stroke Specialist","Neurology & Brain Sciences","নিউরোমেডিসিন ও ব্রেইন সাইন্স বিভাগ","MBBS, MD (Neurology), PhD","15","1200","Evercare Hospital Chuadanga","Super Specialty Hospital","Suite #401, 4th Floor","+880 1715-667788","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-49021","Expert neurologist specializing in stroke treatment, stroke rehabilitation, epilepsy, Parkinson disease, chronic migraine, and peripheral neuropathy.","","Chuadanga","ACTIVE"
"Dr. Sharmeen Sultana","Consultant Dermatologist & Laser Specialist","Dermatology & Skin Care","চর্ম, এলার্জি ও সৌন্দর্য রোগ বিভাগ","MBBS, DDV, FCPS (Dermatology)","10","800","Evercare Hospital Chuadanga","Super Specialty Hospital","Chamber #210, 2nd Floor","+880 1817-778899","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-53219","Specialist in modern skin disease treatments, acne scar removal, chronic eczema, skin allergies, hair loss therapy, and clinical laser procedures.","","Chuadanga","ACTIVE"
"Dr. Md. Rafiqul Islam","Senior Consultant Physician & Diabetologist","Internal & General Medicine","মেডিসিন ও ডায়াবেটিস বিভাগ","MBBS, FCPS (Medicine), MD (Internal Medicine)","20","1000","Chuadanga Medical Center","Private Hospital","Room #101, Main Building","+880 1713-112233","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-31205","Veteran medicine specialist in Chuadanga with 20 years experience in managing complex fever, hypertension, uncontrolled diabetes, and internal organ disorders.","","Chuadanga","ACTIVE"
"Dr. Farida Yasmin","Associate Professor & Gynecologist","Gynecology & Obstetrics","স্ত্রী ও প্রসূতি রোগ বিভাগ","MBBS, DGO, FCPS (Gynae)","13","900","Chuadanga Medical Center","Private Hospital","Chamber #203, Female Ward Block","+880 1814-223344","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-42118","Experienced gynecologist dedicated to compassionate antenatal care, cesarean & normal deliveries, ovarian cyst treatment, and pelvic health.","","Chuadanga","ACTIVE"
"Dr. A.H.M. Kamal Hossain","Senior General & Laparoscopic Surgeon","General & Laparoscopic Surgery","জেনারেল ও ল্যাপারোস্কোপিক সার্জারি বিভাগ","MBBS, FCPS (Surgery), MS (General Surgery)","17","1100","Chuadanga Medical Center","Private Hospital","OT Complex, 3rd Floor","+880 1716-334455","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-36912","Specialist laparoscopic surgeon performing keyhole gallbladder surgeries, hernia repair, appendectomy, and abdominal tumor resections.","","Chuadanga","ACTIVE"
"Dr. Nazmul Huda","ENT Specialist & Micro Ear Surgeon","ENT & Head Neck Surgery","ناک, কান ও গলা রোগ বিভাগ","MBBS, MS (ENT), DLO","12","800","Chuadanga Medical Center","Private Hospital","Chamber #112, ENT Outdoor","+880 1918-445566","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-58190","Skilled ENT surgeon specializing in sinus endoscopic surgery, tonsillectomy, eardrum repair (tympanoplasty), and vocal cord polyp care.","","Chuadanga","ACTIVE"
"Dr. Syeda Rawnak Jahan","Eye Specialist & Phaco Surgeon","Ophthalmology & Eye Care","চক্ষু রোগ বিভাগ","MBBS, DO (Eye), FCPS (Ophthalmology)","14","800","Chuadanga Medical Center","Private Hospital","Eye Clinic, 1st Floor","+880 1719-556677","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-47209","Prominent eye surgeon offering sutureless phaco cataract surgery, glaucoma screening, pterygium removal, and pediatric vision correction.","","Chuadanga","ACTIVE"
